m,n,k,processes,threads,error,generation_time,first_communication_time,second_communication_time,parallel_time,serial_time
2500,2500,128,0,8,0.000000,0.025337,0.000000,0.000000,0.047533,0.000000
2500,2500,128,0,12,0.000000,0.038174,0.000000,0.000000,0.035304,0.000000
2500,2500,128,0,16,0.000000,0.026641,0.000000,0.000000,0.031433,0.000000
2500,2500,128,0,20,0.000000,0.039500,0.000000,0.000000,0.025418,0.000000
2500,2500,128,0,4,0.000000,0.028180,0.000000,0.000000,0.079169,0.000000
2500,2500,128,0,8,0.000000,0.041595,0.000000,0.000000,0.047103,0.000000
2500,2500,128,0,12,0.000000,0.026902,0.000000,0.000000,0.037937,0.000000
2500,2500,128,0,16,0.000000,0.042937,0.000000,0.000000,0.029354,0.000000
2500,2500,128,0,20,0.000000,0.027661,0.000000,0.000000,0.026184,0.000000
2500,2500,156,0,4,0.000000,0.031383,0.000000,0.000000,0.113823,0.169966
2500,2500,156,0,8,0.000000,0.045310,0.000000,0.000000,0.066464,0.183902
2500,2500,156,0,12,0.000000,0.044414,0.000000,0.000000,0.050274,0.184372
2500,2500,156,0,16,0.000000,0.042036,0.000000,0.000000,0.042784,0.167973
2500,2500,156,0,20,0.000000,0.036760,0.000000,0.000000,0.035754,0.181060
2500,2500,156,0,4,0.000000,0.042177,0.000000,0.000000,0.115293,0.000000
2500,2500,156,0,8,0.000000,0.042692,0.000000,0.000000,0.069038,0.000000
2500,2500,156,0,12,0.000000,0.046585,0.000000,0.000000,0.050759,0.000000
2500,2500,156,0,16,0.000000,0.045791,0.000000,0.000000,0.041449,0.000000
2500,2500,156,0,20,0.000000,0.045872,0.000000,0.000000,0.036713,0.000000
2500,2500,156,0,4,0.000000,0.033275,0.000000,0.000000,0.113836,0.000000
2500,2500,156,0,8,0.000000,0.042636,0.000000,0.000000,0.065735,0.000000
2500,2500,156,0,12,0.000000,0.032410,0.000000,0.000000,0.051630,0.000000
2500,2500,156,0,16,0.000000,0.030204,0.000000,0.000000,0.041306,0.000000
2500,2500,156,0,20,0.000000,0.043242,0.000000,0.000000,0.036570,0.000000
2500,2500,156,0,4,0.000000,0.030462,0.000000,0.000000,0.110428,0.000000
2500,2500,156,0,8,0.000000,0.045440,0.000000,0.000000,0.067622,0.000000
2500,2500,156,0,12,0.000000,0.032242,0.000000,0.000000,0.050941,0.000000
2500,2500,156,0,16,0.000000,0.045274,0.000000,0.000000,0.042432,0.000000
2500,2500,156,0,20,0.000000,0.033152,0.000000,0.000000,0.035420,0.000000
2500,5000,32,0,4,0.000000,0.030556,0.000000,0.000000,0.046075,0.073840
2500,5000,32,0,8,0.000000,0.041093,0.000000,0.000000,0.029426,0.074291
2500,5000,32,0,12,0.000000,0.038596,0.000000,0.000000,0.024159,0.073088
2500,5000,32,0,16,0.000000,0.041414,0.000000,0.000000,0.019080,0.073497
2500,5000,32,0,20,0.000000,0.038893,0.000000,0.000000,0.016391,0.071272
2500,5000,32,0,4,0.000000,0.030019,0.000000,0.000000,0.047619,0.000000
2500,5000,32,0,8,0.000000,0.040459,0.000000,0.000000,0.030307,0.000000
2500,5000,32,0,12,0.000000,0.029510,0.000000,0.000000,0.023510,0.000000
2500,5000,32,0,16,0.000000,0.041680,0.000000,0.000000,0.019143,0.000000
2500,5000,32,0,20,0.000000,0.031925,0.000000,0.000000,0.017679,0.000000
2500,5000,32,0,4,0.000000,0.033001,0.000000,0.000000,0.046862,0.000000
2500,5000,32,0,8,0.000000,0.041527,0.000000,0.000000,0.030774,0.000000
2500,5000,32,0,12,0.000000,0.039743,0.000000,0.000000,0.023951,0.000000
2500,5000,32,0,16,0.000000,0.030818,0.000000,0.000000,0.019463,0.000000
2500,5000,32,0,20,0.000000,0.032267,0.000000,0.000000,0.017117,0.000000
2500,5000,32,0,4,0.000000,0.032986,0.000000,0.000000,0.049564,0.000000
2500,5000,32,0,8,0.000000,0.041197,0.000000,0.000000,0.029991,0.000000
2500,5000,32,0,12,0.000000,0.038804,0.000000,0.000000,0.024007,0.000000
2500,5000,32,0,16,0.000000,0.030517,0.000000,0.000000,0.019394,0.000000
2500,5000,32,0,20,0.000000,0.032035,0.000000,0.000000,0.017156,0.000000
2500,5000,64,0,4,0.000000,0.036781,0.000000,0.000000,0.076180,0.166925
2500,5000,64,0,8,0.000000,0.045622,0.000000,0.000000,0.049661,0.160787
